,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,2.7,0.3208189290927249,1.5,2.1,5,0.3085436033643205,1.5,3.25,2.7,4.1,0.16403005361322964,0.8,2.4499999999999997,4.3,0.10910346415007481,3.6,4,3.1,1.8298998734031535e-05,0.9,2,3.2,2.8
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0.005611584850580011,0,0,0.6,0.008672910696395704,0,0.3,0.2,2.8,1,5,3.9,4.3,0.6366689053055742,5,4.7,1.8,1.2760241773002014e-05,0.6,1.2,3.5,3.7
2022 Floods in Bangladesh,Floods,BGD008,Bangladesh,BGD,2.7,0.3152108780825075,1.5,2.1,5,0.29987069266792477,1.5,3.25,2.7,3.9,0.13985198997727405,0.7,2.3,0,0,0,0,3.1,1.9444444444444445e-05,1,2.1,1.2,1.8
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,5,1,5,5,5,0.8431075596024777,4.2,4.6,4.8,2.3,0.004496287494630674,0,1.15,4.3,1.182382133995037,5,4.7,5,0.004044665012406948,5,5,4.9,3.6
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,5,0.28670720997733945,1.4,3.2,5,0.382481175070667,1.9,3.45,3.3,2,0.0060377265684562606,0,1,3.2,0.3645621181262729,5,4.1,x,x,x,x,4.1,2.9
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,4.2,0.037687810924440124,0.1,2.15,5,0.460631087824586,2.3,3.65,3,1.7,0.003216320529314464,0,0.85,2.6,0.2222222222222222,5,3.8,3.5,0.0009111111111111111,5,4.3,4.1,2.8
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,4.7,1.0000321037593503,5,4.85,2.2,1,5,3.6,4.3,3.3,0.6553911205073996,3.3,3.3,4.6,0.5683870967741935,5,4.8,4.2,0.0003,5,4.6,4.7,4.1
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,4.8,1,5,4.9,4.3,1,5,4.65,4.8,4.3,0.6094371207365558,3,3.65,3.9,0.048240343347639485,1.6,2.8,0.4,1.7167381974248927e-07,0,0.2,1.7,2.8
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,4.4,0.9321571365107572,4.7,4.550000000000001,4.8,1,5,4.9,4.7,3.5,0.13605072463768117,0.6,2.05,4.7,0.5177097203728362,5,4.9,3.7,9.693741677762982e-05,4.8,4.3,4.6,3.6
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,2.6,0.07248207146030336,0.3,1.45,1.9,0.13778985507246377,0.6,1.25,1.4,2.7,0.3276360767814883,1.6,2.1500000000000004,4,0.5,5,4.5,3.3,0.0001669341894060995,5,4.2,4.4,3.5
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,3.2,0.1882866873981934,0.9,2.0500000000000003,3.8,0.48818840579710143,2.4,3.0999999999999996,2.6,3,0.1509573994359507,0.7,1.85,4.3,0.47885939036381514,5,4.7,3.4,0.0001248770894788594,5,4.2,4.5,3.5
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,3.8,0.4271794546339193,2.1,2.95,2.5,0.205,1,1.75,2.4,2,0.0839519264757865,0.4,1.2,3.6,0.7305263157894737,5,4.3,1.8,3.578947368421053e-05,1.8,1.8,3.3,2.4
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,5,0.999999117796255,5,5,5,1,5,5,5,4.8,0.24012882205041763,1.2,3,5,0.35674509803921567,5,5,4.9,0.00010815686274509805,5,5,5,4.2
Complex crisis in Congo,Conflict,COG001,Congo,COG,4.2,1,5,4.6,0,0.11491228070175438,0.5,0.25,3.1,1.6,0.42748091603053434,2.1,1.85,2,0.09285714285714286,3.1,2.6,0.7,1.0714285714285714e-05,0.5,0.6,1.7,1.8
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,5,1,5,5,5,1,5,5,5,4.2,0.21764705882352942,1,2.6,5,0.47162162162162163,5,5,4,6.099099099099099e-05,3,3.5,4.4,3.7
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,5,1,5,5,4.7,0.5149411764705882,2.6,3.6500000000000004,4.4,3.7,0.21148427385576118,1,2.35,4.8,0.44616492617933023,5,4.9,4.1,0.00014314007922218222,5,4.6,4.8,3.9
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,1.1,0.08738738738738738,0.3,0.7000000000000001,0.2,0.21118359739049394,1,0.6,0.7,1.4,0.2003530450132392,1,1.2,3.2,0.7929515418502202,5,4.1,x,x,x,x,4.1,3
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,2.3,1,5,3.65,0.3,1.0321489001692048,5,2.65,3.2,2.2,0.5270491803278688,2.6,2.4000000000000004,2.3,0.05909797822706065,2,2.2,1,7.776049766718507e-06,0.4,0.7,1.5,2
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,1.4,0.31492666091458155,1.5,1.45,0,0.5761421319796954,2.9,1.45,1.5,0.1,0.055800293685756244,0.2,0.15000000000000002,2.3,1,5,3.7,1,0.00013157894736842105,5,3,3.4,2.1
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,2.3,1,5,3.65,0.2,0.9788494077834179,4.9,2.5500000000000003,3.1,2.1,0.5246326707000865,2.6,2.35,x,x,x,x,x,x,x,x,x,2.35
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,2.8,1,5,3.9,3.3,1,5,4.15,4,4.1,0.9440142942227516,4.7,4.4,2.9,0.012092534174553101,0.4,1.7,x,x,x,x,1.7,3.3
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,5,1,5,5,5,1,5,5,5,1.5,0.005829346979641784,0,0.75,3.5,1,5,4.3,3.4,0.0009656488549618321,5,4.2,4.3,3
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,3.7,0.06675788845218687,0.2,1.9500000000000002,0,0.004961619757481366,0,0,1.1,1.2,0.7802690582959642,3.9,2.55,x,x,x,x,0,0,0,0,0,1.4
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,5,0.9996888830481568,5,5,5,1.0049616197574813,5,5,5,1.9,0.00965285157633723,0,0.95,3.5,0.6009174311926605,5,4.3,3.4,0.0005802752293577982,5,4.2,4.3,3
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,4,1,5,4.5,4.2,1,5,4.6,4.6,4,0.47066825369835064,2.3,3.15,4.1,0.09670038535645473,3.2,3.7,1.4,1.0838150289017341e-06,0.1,0.8,2.5,2.8
Syrian Refugee Crisis in Egypt,Displacement,EGY002,Egypt,EGY,3.3,0.0914880405846602,0.4,1.8499999999999999,3.8,0.12662151508636135,0.6,2.1999999999999997,2,1.1,0.010258950049525966,0,0.55,3.1,1,5,4.1,0,0,0,0,2.6,1.7
Complex crisis in Eritrea,"Socio-political,Displacement",ERI001,Eritrea,ERI,3.3,1,5,4.15,2.6,1,5,3.8,4,2.6,0.19326783701079078,0.9,1.75,3.6,0.2675,5,4.3,0,0,0,0,2.8,2.3
Mixed migration flows in spain,Displacement,ESP002,Spain,ESP,3.3,0.1999160352651886,0.9,2.1,3.6,0.2554198120150556,1.2,2.4,2.3,1.1,0.012019428665514118,0,0.55,3.1,1,5,4.1,3.1,0.0009726027397260274,5,4.1,4.1,2.7
Complex crisis in Ethiopia,"Displacement,Floods,Conflict",ETH001,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.7712604556327965,3.8,4.4,5,0.04824155122347235,1.6,3.3,4.6,1.7933159171098783e-05,0.9,2.8,3.1,3.8
International Displacement,Displacement,ETH003,Ethiopia,ETH,5,1.128571,5,5,5,1,5,5,5,5,0.3369804293030648,1.7,3.35,4.2,0.020915219514519166,0.7,2.5,0,0,0,0,1.4,2.5
Northern Ethiopia Conflict,"Conflict,Displacement",ETH004,Ethiopia,ETH,4.1,0.299,1.4,2.75,4.9,0.24162345272689326,1.2,3.0500000000000003,2.9,5,1,5,5,4.8,0.08166112956810631,2.7,3.8,3.3,6.312292358803987e-06,0.3,1.8,2.9,4.2
Drought in Ethiopia,Drought,ETH005,Ethiopia,ETH,4.8,0.7843,3.9,4.35,5,0.4816414340070962,2.4,3.7,4,4.8,0.4,2,3.4,4.4,0.05416666666666667,1.8,3.1,2.7,3.083333333333333e-06,0.2,1.5,2.4,2.9
Flood crisis in Gambia ,Floods,GMB002,Gambia,GMB,1.7,1,5,3.35,1.3,1,5,3.15,3.3,0.2,0.01765650080256822,0,0.1,1.1,0.13636363636363635,4.5,2.8,1.5,0.00025,5,3.3,3.1,1.8
Mixed migration flows in Greece,Displacement,GRC002,Greece,GRC,0.9,0.026097750193948797,0,0.45,0,0.038822852760736194,0.1,0.05,0.3,1.2,0.3950617283950617,1.9,1.5499999999999998,3.1,1,5,4.1,0,6.25e-06,0.3,0.2,2.6,2.1
Complex crisis in Guatemala,"Violence,Socio-political,Other seasonal event",GTM001,Guatemala,GTM,3.4,1,5,4.2,4.1,1,5,4.55,4.4,3.8,0.3333333333333333,1.6,2.7,3.4,0.04245614035087719,1.4,2.4,4,0.00011982456140350877,5,4.5,3.7,3.2
Complex crisis in Honduras,"Violence,Socio-political,Other seasonal event,Cyclone",HND001,Honduras,HND,3.4,1,5,4.2,3.2,1,5,4.1,4.2,3.5,0.425531914893617,2.1,2.8,3.4,0.06175,2.1,2.8,3.9,0.000143,5,4.5,3.8,3.3
Complex crisis in Haiti,"Earthquake,Violence,Socio-political,Other seasonal event",HTI001,Haiti,HTI,2.4,1,5,3.7,3.5,1,5,4.25,4,4,0.7192982456140351,3.6,3.8,2.8,0.011707317073170732,0.4,1.6,4.8,0.0002996341463414634,5,4.9,3.7,3.8
Nippes Earthquake ,Earthquake,HTI002,Haiti,HTI,1.8,0.46629172714078376,2.3,2.05,2.7,0.5639473684210526,2.8,2.75,2.4,2.2,0.10732617825478301,0.5,1.35,1.8,0.02463768115942029,0.8,1.3,4.8,0.0032579710144927535,5,4.9,3.7,2.7
Displacement from Ukraine conflict in Hungary,"Conflict,Displacement",HUN002,Hungary,HUN,1.3,0.06556942450016569,0.2,0.75,1.2,0.22934878695609467,1.1,1.15,1,2.8,0.6809421841541756,3.4,3.0999999999999996,4.6,1,5,4.8,0,0,0,0,3.2,3.2
Papua Conflict,"Socio-political,Violence",IDN002,Indonesia,IDN,4.4,0.23294214410704528,1.1,2.75,2.5,0.020124864458778816,0.1,1.3,2.1,3.7,1,5,4.35,2.9,0.018389113644722323,0.6,1.8,2.2,6.25229863920559e-06,0.3,1.3,1.6,3.3
Country Level,"Earthquake,Socio-political,Violence",IDN007,Indonesia,IDN,4.4,0.2402992983986266,1.1,2.75,4.5,0.08252378679042088,0.4,2.45,2.6,3.9,0.32458854657159514,1.6,2.75,3.2,0.02238187344570323,0.7,2,3.5,4.213871235147831e-05,2.1,2.8,2.4,2.6
Earthquake in West Java province,Earthquake,IDN008,Indonesia,IDN,1.9,0.007357154291581336,0,0.95,4.1,0.06239892233164208,0.3,2.1999999999999997,1.6,2.9,0.10675523397188778,0.5,1.7,2.6,0.034444444444444444,1.1,1.9,3.5,0.00015055555555555555,5,4.3,3.3,2.6
Conflict in Jammu and Kashmir,Socio-political,IND002,India,IND,3.9,0.07474665258527037,0.3,2.1,3.7,0.009265470772504286,0,1.85,2,x,x,x,x,x,x,x,x,3.2,x,x,3.2,3.2,3.2
Afghan Refugees in Iran,Displacement,IRN004,Iran,IRN,4,0.1470818291215403,0.6,2.3,4.6,0.28856236122897366,1.4,3,2.7,3.3,0.11602143173669581,0.5,1.9,4.9,1,5,5,x,x,x,x,5,3.9
Multiple crises in Iraq,"Violence,Displacement,Socio-political,Conflict",IRQ001,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,1.1101696972639654,5,5,4.7,3.8,0.12731527039734086,0.6,2.1999999999999997,5,1.4623840604603229,5,5,3.4,3.984884919271728e-05,2,2.7,4.1,3.3
Conflict  in Iraq,"Conflict,Socio-political,Violence",IRQ002,Iraq,IRQ,4.3,0.8825566402652422,4.4,4.35,5,0.9850695540287927,4.9,4.95,4.7,3.7,0.13061908517350157,0.6,2.15,5,1.5569811320754716,5,5,3.4,4.377358490566038e-05,2.2,2.8,4.2,3.4
Syrian and Palestinian refugees in iraq,Displacement,IRQ003,Iraq,IRQ,2.6,0.08898968502486646,0.4,1.5,2.4,0.1251244203830934,0.6,1.5,1.5,2,0.10128055878928988,0.5,1.25,3.5,0.5,5,4.3,0,0,0,0,2.8,2.1
Mixed migration flows in Italy,Displacement,ITA002,Italy,ITA,2.7,0.13957639219419324,0.6,1.6500000000000001,2.8,0.11169939088147915,0.5,1.65,1.7,1.4,0.033729569093610696,0.1,0.75,3.4,1,5,4.2,4.1,0.0034405286343612337,5,4.6,4.4,3.1
Syrian refugees in Jordan,Displacement,JOR002,Jordan,JOR,2.7,0.4557670646542014,2.2,2.45,3.1,0.8058486026281695,4,3.55,3,2.9,0.2111851171336702,1,1.95,4.5,0.7172376291462752,5,4.8,0,0,0,0,3.2,2.6
Multiple crisis in Kenya ,"Drought,Displacement",KEN001,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.3012747471870104,1.5,2.8,3.8,4.5,1,5,4.75,3.9,0.03279754166174211,1.1,2.5,x,x,x,x,2.5,3.9
Refugee situation in Kenya,Displacement,KEN002,Kenya,KEN,2.6,0.06719612046245212,0.2,1.4000000000000001,0.2,0.019833357071642216,0,0.1,0.8,2.1,0.5098743267504489,2.5,2.3,3.9,1,5,4.5,x,x,x,x,4.5,3.6
Drought in Kenya,Drought,KEN003,Kenya,KEN,4.5,0.9123238570474751,4.6,4.55,4.1,0.29970801880074066,1.5,2.8,3.8,4.5,1,5,4.75,x,x,x,x,x,x,x,x,x,4.75
Syrian refugees in Lebanon,Displacement,LBN002,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.922440537745605,4.6,4.199999999999999,4.5,0.2448750800768738,5,4.8,x,x,x,x,4.8,4.5
Socioeconomic crisis in Lebanon,"Socio-political,Violence,Tecnological Disaster",LBN004,Lebanon,LBN,1.7,1.021505376344086,5,3.35,2.8,1,5,3.9,3.6,3.8,0.922440537745605,4.6,4.199999999999999,x,x,x,x,3.4,3.763613068545804e-05,1.9,2.7,2.7,3.6
Complex crisis in Libya,"Conflict,Displacement,Socio-political",LBY001,Libya,LBY,5,1,5,5,3,1,5,4,4.6,3.5,0.46,2.3,2.9,4.6,0.4146341463414634,5,4.8,4.1,0.0002123541887592789,5,4.6,4.7,4
Mixed migration flows in Libya,Displacement,LBY002,Libya,LBY,5,1,5,5,3,1,5,4,4.6,2.3,0.08817073170731707,0.4,1.3499999999999999,4.1,1,5,4.6,4.1,0.0010802213001383126,5,4.6,4.6,3.4
Socio-economic crisis in Sri Lanka,"Socio-political,Food Security",LKA002,Sri Lanka,LKA,3,0.9999202678998564,5,4,4.5,1,5,4.75,4.4,4.7,1,5,4.85,0,0,0,0,1.4,4.5134500812421015e-07,0,0.7,0.4,3.4
Food security crisis in Lesotho,Food Security,LSO003,Lesotho,LSO,2.4,0.8484848484848485,4.2,3.3,0.6,0.6414686825053996,3.2,1.9000000000000001,2.7,2.4,0.5589225589225589,2.8,2.5999999999999996,x,x,x,x,x,x,x,x,x,2.5999999999999996
Mixed migration flows in Morocco,Displacement,MAR002,Morocco,MAR,4.4,1,5,4.7,5,1,5,5,4.9,0,0.000560298826040555,0,0,1.9,1,5,3.5,3.1,0.0067619047619047615,5,4.1,3.8,2.3
DIsplacement from Ukraine conflict in Moldova,"Displacement,Conflict",MDA002,Moldova,MDA,0.3,0.04852449041679343,0.1,0.2,0,0.23425253991291728,1.1,0.55,0.4,2.2,0.8649318463444857,4.3,3.25,4.1,1,5,4.6,0,0,0,0,3,3.1
Multiple crisis in Madagascar,"Drought,Cyclone",MDG001,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,3.7,0.16904496845798334,0.8,2.25,3.3,0.03851526641388944,1.3,2.3,3.4,4.869287567351826e-05,2.4,2.9,2.6,2.4
Drought in Madagascar,Drought,MDG002,Madagascar,MDG,3.6,0.2573942935716741,1.2,2.4,2.4,0.17714131498161453,0.8,1.6,2,3.5,0.7714721005522758,3.8,3.65,1,0.0012342631449024932,0,0.5,2.1,7.405578869414959e-06,0.4,1.3,0.9,2.5
Tropical Cyclones Season in 2022 in Madagascar,Cyclone,MDG006,Madagascar,MDG,4.6,1,5,4.8,4.9,1,5,4.95,4.9,2.5,0.03238538609452485,0.1,1.3,3.2,0.19583333333333333,5,4.1,3.3,0.00022291666666666667,5,4.2,4.2,3.1
Multiple crisis in Mexico,"Violence,Displacement",MEX001,Mexico,MEX,5,1,5,5,5,1,5,5,5,2.1,0.005126083064502508,0,1.05,4,1,5,4.5,5,0.014115321252059308,5,5,4.8,3.5
Criminal Violence in Mexico,"Violence,Displacement",MEX002,Mexico,MEX,5,1,5,5,5,1,5,5,5,1.8,0.003200635060043576,0,0.9,3.7,1,5,4.4,5,0.020641160949868075,5,5,4.7,3.4
Mixed Migration in Mexico,Displacement,MEX003,Mexico,MEX,5,0.8599696494251395,4.3,4.65,5,0.9637205060212475,4.8,4.9,4.8,1.4,0.0019979319651588705,0,0.7,3.4,1,5,4.2,4.1,0.0032675438596491226,5,4.6,4.4,3
Complex crisis in Mali,Conflict,MLI001,Mali,MLI,5,1.0163908899433696,5,5,4.4,1,5,4.7,4.9,3.8,0.299017513882956,1.5,2.65,4,0.10507936507936508,3.5,3.8,4.4,0.00020142857142857142,5,4.7,4.3,3.6
Multiple crises in Myanmar,"Socio-political,Conflict,Violence",MMR001,Myanmar,MMR,4.7,1.0130121883995835,5,4.85,5,1,5,5,4.9,5,0.627899461400359,3.1,4.05,4.9,0.07408360496368731,2.5,3.7,5,0.0002826385314805284,5,5,4.5,4.3
Rakhine Conflict,Conflict,MMR002,Myanmar,MMR,2.7,0.06240429962638574,0.2,1.4500000000000002,2,0.06919210053859964,0.3,1.15,1.3,2.8,0.40295796574987025,2,2.4,4.5,0.8396651641983258,5,4.8,3.5,0.0001699935608499678,5,4.3,4.6,3.7
Kachin and Shan Conflict,Conflict,MMR003,Myanmar,MMR,4,0.37490506522937467,1.8,2.9,3.1,0.15068222621184918,0.7,1.9,2.4,3.3,0.35660669605623735,1.8,2.55,2.9,0.03374540594721016,1.1,2,4,0.00021216171065820247,5,4.5,3.5,3.1
Post-coup conflict in Myanmar,"Violence,Socio-political,Conflict",MMR004,Myanmar,MMR,4.3,0.5817924297176457,2.9,3.5999999999999996,5,0.7801256732495512,3.9,4.45,4.1,5,0.7002508457413757,3.5,4.25,4.4,0.03901012225581701,1.3,2.9,5,0.00029532009990797947,5,5,4.2,4.2
Multiple Crises in Mozambique,"Conflict,Displacement,Cyclone",MOZ001,Mozambique,MOZ,4.6,0.7210725094737913,3.6,4.1,4.8,0.8570392749244713,4.3,4.55,4.3,4.3,0.39615059221658205,2,3.15,4.3,0.09574657412350952,3.2,3.8,3.9,4.627157857269977e-05,2.3,3.1,3.5,3.3
Cabo Delgado Islamist Insurgency,"Conflict,Displacement",MOZ004,Mozambique,MOZ,4.1,0.3568440194308095,1.7,2.9,3.4,0.31123867069486405,1.5,2.45,2.7,4.2,1,5,4.6,4.3,0.09192389827218016,3.1,3.7,3.8,4.513686662783926e-05,2.3,3.1,3.4,4.1
2022 Tropical Cyclone Seasons in Mozambique,Cyclone,MOZ008,Mozambique,MOZ,4.5,0.6160024415676899,3,3.75,4.2,0.5458006042296073,2.7,3.45,3.6,2.5,0.05181002989040186,0.2,1.35,3,0.13782051282051283,4.6,3.8,2.5,5.876068376068376e-05,2.9,2.7,3.3,2.4
Refugees from Mali in Mauritania,Displacement,MRT002,Mauritania,MRT,3.9,0.19986416998156592,0.9,2.4,0.6,0.3162625418060201,1.5,1.05,1.8,2.8,1,5,3.9,2.8,0.06411103767349637,2.1,2.5,0,0,0,0,1.4,2.9
Food Security in Mauritania,"Drought,Floods",MRT003,Mauritania,MRT,5,1,5,5,2.1,0.9111622073578596,4.6,3.3499999999999996,4.3,3.1,0.5308557008488185,2.6,2.85,x,x,x,x,0,0,0,0,0,1.6
Complex crisis in Malawi,"Drought,Socio-political,Cyclone",MWI002,Malawi,MWI,3.3,1,5,4.15,4.3,1,5,4.65,4.4,4.3,0.6007632390611114,3,3.65,3.1,0.012530455969369997,0.4,1.8,3.5,2.3059519665854508e-05,1.2,2.4,2.1,3
Tropical Cyclone Ana in Malawi,Cyclone,MWI004,Malawi,MWI,3.3,1.0028425965210013,5,4.15,4.1,0.8887030163625909,4.4,4.25,4.2,2.5,0.05823529411764706,0.2,1.35,2.5,0.05454545454545454,1.8,2.2,2.4,4.6464646464646464e-05,2.3,2.4,2.3,1.9
International Refugees in Malaysia,Displacement,MYS001,Malaysia,MYS,1.6,0.028020088266626084,0,0.8,3.3,0.3086193185293938,1.5,2.4,1.7,4.2,1,5,4.6,3.2,0.018136769078295343,0.6,1.9,0,0,0,0,1,3.3
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.4,0.988376598217745,4.9,3.1500000000000004,4.2,2.8,0.622108976871815,3.1,2.95,0,0,0,0,0,0,0,0,0,1.7
Multiple crises in Niger,"Conflict,Displacement",NER001,Niger,NER,5,1.0002368358727403,5,5,4.6,1,5,4.8,4.9,3.5,0.16416326530612244,0.8,2.15,0,0,0,0,3.6,8.378915962207857e-05,4.2,3.9,2.4,2.3
Boko Haram in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.026734693877551022,0.1,0.05,1.2,2.2,1,5,3.6,3.5,0.44274809160305345,5,4.3,3.2,0.0002549618320610687,5,4.1,4.2,3.9
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.1662587826636141,0.7,2.3,2.6,0.24693877551020407,1.2,1.9,2.1,3.1,0.39834710743801655,2,2.55,3.5,0.11037344398340249,3.7,3.6,3.3,8.589211618257262e-05,4.3,3.8,3.7,3.2
Nigerian Refugees,Displacement,NER004,Niger,NER,1.6,0.006801926265098287,0,0.8,2.1,0.17791836734693878,0.8,1.4500000000000002,1.1,2.5,0.21954576737783896,1.1,1.8,3.3,0.21316614420062696,5,4.2,1.7,1.6718913270637407e-05,0.8,1.3,3.1,2.5
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,4.9,1,5,4.95,5,1,5,5,5,4.9,0.12158858454323206,0.6,2.75,5,0.2418771216473309,5,5,5,0.00017924422725407543,5,5,5,4.2
Middle belt conflict,Violence,NGA003,Nigeria,NGA,3.6,0.15697047553169297,0.7,2.15,4,0.07044853564835603,0.3,2.15,2.2,2.9,0.1091939222250837,0.5,1.7,3.8,0.2918632075471698,5,4.4,3.8,0.00026650943396226413,5,4.4,4.4,3.3
Boko Haram crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,4,0.07280256539349489,0.3,2.15,2.2,4.5,1,5,4.75,5,0.2685813967977073,5,5,4.5,8.230016821381845e-05,4.1,4.3,4.7,4.7
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.18837227234173798,0.9,2.95,2.8,3.9,0.1624328814620404,0.8,2.35,3.9,0.07515564779128373,2.5,3.2,4.6,0.00023109991105840498,5,4.8,4.1,3.4
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,3.4,0.11953511863587953,0.5,1.95,3.7,0.057490032793131134,0.2,1.9500000000000002,2,0.7,0.006863905325443787,0,0.35,2.8,1,5,3.9,x,x,x,x,3.9,2.5
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,3.5,1,5,4.25,2.6,1,5,3.8,4,1.3,0.032252862441541685,0.1,0.7000000000000001,3.3,1,5,4.2,1.4,4.5e-05,2.3,1.9,3.3,2.2
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.587579361102275,2.9,3.95,5,0.07009633425539331,2.3,3.7,4.2,6.044066062012859e-06,0.3,2.3,3.1,3.6
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.1,0.0184758310855858,0,1.05,1,x,x,x,x,x,x,x,x,0,x,x,0,0,0
