INFORM Severity Index - all countries. Release: November 2021,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in DPRK,PRK001,DPRK,PRK,Complex crisis,3.8,4,High,Stable,Medium,3.9,4.6,3.5,4.5,5,4,2.5,3,2,Asia,2021-11-21 00:00:00
Conflict in Palestine,PSE002,Palestine,PSE,Conflict,4,4,High,Decreasing,Very High,4,3.4,4.2,4,4,4,3.9,3.1,4.5,Middle east,2021-11-25 00:00:00
Burundi and DRC refugees in Rwanda,RWA002,Rwanda,RWA,International displacement,2.2,3,Medium,Increasing,Low,2.6,2.1,2.8,1.45,1.9,1,3,4,1.5,Africa,2021-06-11 00:00:00
Complex crisis in Sudan,SDN001,Sudan,SDN,Multiple crises country,4.5,5,Very High,Stable,Very High,4.4,4.8,4.2,4.5,5,4,4.6,4.7,4.5,Africa,2021-11-21 00:00:00
Drought in Senegal,SEN002,Senegal,SEN,Drought,2.4,3,Medium,Stable,Medium,2.7,4.5,1.2,2.4,2.8,2,2.3,2.1,2.5,Africa,2021-06-09 00:00:00
Complex crisis in El Salvador,SLV001,El Salvador,SLV,Complex crisis,3.2,4,High,Stable,Very High,3.4,3.8,3.1,3.35,3.7,3,2.8,3,2.5,Americas,2021-11-16 00:00:00
Complex crisis in Somalia,SOM001,Somalia,SOM,Complex crisis,4.4,5,Very High,Decreasing,High,4.8,4.7,4.9,3.9,4.8,3,4.9,4.7,5,Africa,2021-11-19 00:00:00
Complex crisis in South Sudan,SSD001,South Sudan,SSD,Complex crisis,4.6,5,Very High,Increasing,Medium,4.7,4.6,4.7,4.45,4.9,4,4.6,4.7,4.5,Africa,2021-06-03 00:00:00
Food Security Crisis in Eswatini,SWZ001,Eswatini,SWZ,Food Security,2.5,3,Medium,Stable,High,2,3.1,1.4,2.75,2.5,3,2.4,3.4,1,Africa,2021-11-21 00:00:00
Syrian conflict,SYR001,Syria,SYR,Complex crisis,5,5,Very High,Stable,High,4.8,4.5,4.9,5,5,5,5.1,5.2,5,Middle east,2021-11-21 00:00:00
Complex crisis in Chad,TCD001,Chad,TCD,Multiple crises country,4.3,5,Very High,Stable,Medium,4,4.8,3.4,4.35,4.7,4,4.3,4.6,4,Africa,2021-11-22 00:00:00
Multiple situations in Thailand,THA001,Thailand,THA,Multiple crises country,2,2,Low,Decreasing,High,2.2,1.2,2.6,1.3,1.6,1,2.8,3,2.5,Asia,2021-11-21 00:00:00
Venezuelan refugees in Trinidad and Tobago,TTO002,Trinidad and Tobago,TTO,International displacement,1.7,2,Low,Stable,Medium,2.6,2.9,2.4,1.15,1.3,1,1.7,1.8,1.5,Americas,2021-06-07 00:00:00
