Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Complex crisis in Mali,MLI001,Mali,Buildings damaged,x,,x,x,,No data available,MLI001Buildings damaged,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Buildings destroyed,1,Complex crisis in Mali,Low,3,MLI001,Complex crisis in Mali,MLI001Buildings destroyed,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Economic Losses,x,,x,x,,No data available,MLI001Economic Losses,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing limited access constraints,x,,x,x,,No data available,MLI001People facing limited access constraints,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing restricted access constraints,x,,x,x,,No data available,MLI001People facing restricted access constraints,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings damaged,0,,Medium,2,,,SEN002Buildings damaged,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings destroyed,0,,Medium,2,,,SEN002Buildings destroyed,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Economic Losses,x,,Low,3,,"No recent number reflecting agricultural losses, or the impact of the drought on smallholder agricutlure and transhumance patterns disrupting rural economies",SEN002Economic Losses,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Illness cases reported,0,,Medium,2,,,SEN002Illness cases reported,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Injuries reported,0,,Medium,2,,,SEN002Injuries reported,2019-01-24,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings damaged,x,,x,x,,,PRK001Buildings damaged,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings destroyed,x,,x,x,,,PRK001Buildings destroyed,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Crisis affected groups,1,,Medium,2,,Country population,PRK001Crisis affected groups,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Economic Losses,x,,x,x,,,PRK001Economic Losses,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Illness cases reported,x,,x,x,,,PRK001Illness cases reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Injuries reported,x,,x,x,,,PRK001Injuries reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing limited access constraints,x,,x,x,,,PRK001People facing limited access constraints,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing restricted access constraints,x,,x,x,,,PRK001People facing restricted access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings damaged,x,,x,x,,,YEM001Buildings damaged,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings destroyed,x,,x,x,,,YEM001Buildings destroyed,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Economic Losses,x,,x,x,,,YEM001Economic Losses,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing limited access constraints,x,,x,x,,,YEM001People facing limited access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing restricted access constraints,x,,x,x,,,YEM001People facing restricted access constraints,2019-01-28,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Buildings damaged,x,,x,x,,,AFG001Buildings damaged,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Economic Losses,13114,"Economic Institute of Peace, World Bank",Medium,2,"http://visionofhumanity.org/app/uploads/2018/11/Economic-Value-of-Peace-2018.pdf, https://data.worldbank.org/indicator/NY.GDP.MKTP.CD","Based on Economic Insitute of Peace estimates the economic costs due to conflict in Afghanistan at 63% of the GDP (2017), subsequent calculation based on 2017 World Bank figures. This does not include any estimations for economic losses due to the drought.",AFG001Economic Losses,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Illness cases reported,x,,x,x,,,AFG001Illness cases reported,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing limited access constraints,x,,x,x,,,AFG001People facing limited access constraints,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing restricted access constraints,x,,x,x,,,AFG001People facing restricted access constraints,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,Crisis affected groups,5,,High,1,,Every kind of group is affected by this crisis as it covers the entire country and those displaced by it.,SYR001Crisis affected groups,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,Illness cases reported,x,x,x,x,,"There are too many illnesses in Syria, which are reported very sporadically to be able to adequately captured here.",SYR001Illness cases reported,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,People facing limited access constraints,x,,x,x,,"This number is not known though it should not be assumed that most of the populaytion outside of hard to reach areas are not also affected by strong access constraints - espeacially in areas with ongoing conflict, and when considering that the Israeli, Turkish, Lebanese and Jordanian borders are closed.",SYR001People facing limited access constraints,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,People facing restricted access constraints,1160000,OCHA,Medium,2,https://reliefweb.int/sites/reliefweb.int/files/resources/acc-11_syr_overview_of_hard_to_reach_areas_20181029.pdf,"This number represents the number of people that are hard to reach as defined by OCHA. This definition is ""An area that is not regularly accessible to humanitarian actors for the purposes of sustained humanitarian programming as a result of denial of access,including the need to negotiate access on an ad hoc basis,or due to restrictions such as active conflict,multiple security checkpoints,or failure of the a uthorities to provide timely approval"" . It is a groslly conservative estimate at best",SYR001People facing restricted access constraints,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Buildings damaged,x,,x,x,,,TZA002Buildings damaged,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Economic Losses,x,,x,x,,,TZA002Economic Losses,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,Illness cases reported,x,,x,x,,,TZA002Illness cases reported,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,People facing limited access constraints,x,,x,x,,,TZA002People facing limited access constraints,2019-01-30,Humanitarian development
International Displacement in Tanzania,TZA002,Tanzania,People facing restricted access constraints,x,,x,x,,,TZA002People facing restricted access constraints,2019-01-30,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Buildings damaged,x,,x,x,,,SOM001Buildings damaged,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,Buildings destroyed,x,,x,x,,,SOM001Buildings destroyed,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,People facing limited access constraints,x,,x,x,,,SOM001People facing limited access constraints,2019-01-31,Humanitarian development
Complex crisis in Somalia,SOM001,Somalia,People facing restricted access constraints,x,,x,x,,,SOM001People facing restricted access constraints,2019-01-31,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Buildings damaged,x,,x,x,,,GRC002Buildings damaged,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Buildings destroyed,x,,x,x,,,GRC002Buildings destroyed,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Crisis affected groups,2,,Medium,2,,"AS + Refs, Host population",GRC002Crisis affected groups,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Economic Losses,x,,x,x,,,GRC002Economic Losses,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,Illness cases reported,x,,x,x,,,GRC002Illness cases reported,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,People facing limited access constraints,x,,x,x,,,GRC002People facing limited access constraints,2019-02-05,Humanitarian development
Mixed migration flows in Greece,GRC002,Greece,People facing restricted access constraints,x,,x,x,,,GRC002People facing restricted access constraints,2019-02-05,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,Economic Losses,x,,x,x,,,ZWE001Economic Losses,2019-02-06,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing limited access constraints,x,,x,x,,,ZWE001People facing limited access constraints,2019-02-06,Humanitarian development
Complex crisis in Zimbabwe,ZWE001,Zimbabwe,People facing restricted access constraints,x,,x,x,,,ZWE001People facing restricted access constraints,2019-02-06,Humanitarian development
Rohingya refugee crisis,BGD002,Bangladesh,People facing limited access constraints,0,,Medium,2,,There is no indication that there are direct access constraints.,BGD002People facing limited access constraints,2019-02-07,Humanitarian development
Rohingya refugee crisis,BGD002,Bangladesh,People facing restricted access constraints,0,Acaps Access Map,Medium,2,,There is no indication that there are direct access constraints.,BGD002People facing restricted access constraints,2019-02-07,Humanitarian development
Syrian refugees in Jordan,JOR002,Jordan,People facing limited access constraints,x,,x,x,,No available data,JOR002People facing limited access constraints,2019-02-07,Humanitarian development
Syrian refugees in Jordan,JOR002,Jordan,People facing restricted access constraints,x,,x,x,,No available data,JOR002People facing restricted access constraints,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Buildings damaged,x,,x,x,,No data available,LBY001Buildings damaged,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Buildings destroyed,x,,x,x,,No data available,LBY001Buildings destroyed,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Economic Losses,x,,x,x,,No data available,LBY001Economic Losses,2019-02-07,Humanitarian development
Complex crisis in Libya,LBY001,Libya,Illness cases reported,x,,x,x,,No data available,LBY001Illness cases reported,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Buildings damaged,x,,x,x,,No data available,LBY002Buildings damaged,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Buildings destroyed,x,,x,x,,No data available,LBY002Buildings destroyed,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Economic Losses,x,,x,x,,No data available,LBY002Economic Losses,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Illness cases reported,x,,x,x,,No data available,LBY002Illness cases reported,2019-02-07,Humanitarian development
Mixed migration flows in Libya,LBY002,Libya,Injuries reported,x,,x,x,,No data available,LBY002Injuries reported,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Crisis affected groups,5,UNICEF 01/2019,High,1,,"Returnees, IDPs, Afghan refugees, host and non-host",PAK001Crisis affected groups,2019-02-07,Humanitarian development
Complex crisis in Pakistan,PAK001,Pakistan,Economic Losses,x,TheNews 05/26/2017,x,x,https://www.acleddata.com/,"In fiscal year 2017, $3.88 billion (Rs407.2 billion) losses to economy were recorded. There is no updated sources for 2018.",PAK001Economic Losses,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Crisis affected groups,4,,Medium,2,,"There are IDP's, refugees, host and non-host groups in Gaza, the West Bank and East Jerusalem.",PSE002Crisis affected groups,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,Illness cases reported,x,,x,x,,A total of the number of Palestinian injuries resulting directly from conflict between June and December 2018.,PSE002Illness cases reported,2019-02-07,Humanitarian development
Conflict in Palestine,PSE002,Palestine,People facing limited access constraints,x,,x,x,,,PSE002People facing limited access constraints,2019-02-07,Humanitarian development
Syrian Refugee Crisis in Egypt,EGY002,Egypt,People facing limited access constraints,x,,x,x,,,EGY002People facing limited access constraints,2019-02-11,Humanitarian development
Syrian Refugee Crisis in Egypt,EGY002,Egypt,People facing restricted access constraints,x,,x,x,,,EGY002People facing restricted access constraints,2019-02-11,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Buildings damaged,x,,x,x,,No information currently available,CAF001Buildings damaged,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Buildings destroyed,x,,x,x,,No information currently available,CAF001Buildings destroyed,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,Economic Losses,x,,x,x,,No information currently available,CAF001Economic Losses,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,People facing limited access constraints,x,,x,x,,No information currently available,CAF001People facing limited access constraints,2019-02-12,Humanitarian development
Complex crisis in CAR,CAF001,CAR,People facing restricted access constraints,x,,x,x,,No information currently available,CAF001People facing restricted access constraints,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Buildings damaged,x,,x,x,,No information currently available,NER001Buildings damaged,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Buildings destroyed,x,,x,x,,No information currently available,NER001Buildings destroyed,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Economic Losses,x,,x,x,,No information currently available,NER001Economic Losses,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,Illness cases reported,x,,x,x,,No information currently available,NER001Illness cases reported,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,People facing limited access constraints,x,,x,x,,No information currently available,NER001People facing limited access constraints,2019-02-12,Humanitarian development
Multiple crises in Niger,NER001,Niger,People facing restricted access constraints,x,,x,x,,No information currently available,NER001People facing restricted access constraints,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Economic Losses,x,,x,x,,No information currently available,NER002Economic Losses,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,Illness cases reported,x,,x,x,,No information currently available,NER002Illness cases reported,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,People facing limited access constraints,x,,x,x,,No information currently available,NER002People facing limited access constraints,2019-02-12,Humanitarian development
Boko Haram in Niger,NER002,Niger,People facing restricted access constraints,x,,x,x,,No information currently available,NER002People facing restricted access constraints,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Buildings damaged,x,,Medium,2,,No information currently available,NER003Buildings damaged,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Buildings destroyed,x,,x,x,,No information currently available,NER003Buildings destroyed,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Economic Losses,x,,Medium,2,,No information currently available,NER003Economic Losses,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Illness cases reported,x,,Medium,2,,No information currently available,NER003Illness cases reported,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Injuries reported,x,,Medium,2,,No information currently available,NER003Injuries reported,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,Landmass affected,210600,"Government of Niger 2016, OCHA 31/12/2018, UNHCR 31/12/2018",Medium,2,https://data.humdata.org/dataset/niger-administrative-level-0-3-population-statistics https://data2.unhcr.org/en/documents/download/67565 https://data.humdata.org/dataset/refugees-originating-ner,"Liptako-Gourma regions of Niger, bordering Mali and Burkina Faso : Tahoua and Tillaberi excluding the city of Niamey",NER003Landmass affected,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,People facing limited access constraints,x,,Medium,2,,No information currently available,NER003People facing limited access constraints,2019-02-12,Humanitarian development
Mali/Burkina Faso conflict,NER003,Niger,People facing restricted access constraints,x,,Medium,2,,No information currently available,NER003People facing restricted access constraints,2019-02-12,Humanitarian development
Multiple crises in Cameroon,CMR001,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR001People facing limited access constraints,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Buildings damaged,x,,Medium,2,,,CMR002Buildings damaged,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Buildings destroyed,x,,x,x,,,CMR002Buildings destroyed,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,Economic Losses,5.2,World Bank 01/08/2018,Medium,2,http://documents.worldbank.org/curated/fr/500811535650451258/pdf/127883-FRENCH-REPORT-CEMAC-Agriculture.pdf,"Since 2013, the cattle stolen by Boko Haram from local farmers amounts to 5.2 million of dollars in economic losses",CMR002Economic Losses,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR002People facing limited access constraints,2019-02-13,Humanitarian development
Boko Haram in Cameroon,CMR002,Cameroon,People facing restricted access constraints,x,,Medium,2,,,CMR002People facing restricted access constraints,2019-02-13,Humanitarian development
Anglophone Crisis in Cameroon,CMR003,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR003People facing limited access constraints,2019-02-13,Humanitarian development
Anglophone Crisis in Cameroon,CMR003,Cameroon,People facing restricted access constraints,377500,VOA 24/01/2019,Medium,2,https://www.voanews.com/a/cameroon-struggles-to-aid-idps-in-anglophone-separatist-areas/4756930.html?utm_source=NEWS&utm_medium=email&utm_content=1st+section+1st+story+voa&utm_campaign=HQ_EN_therefugeebrief_external_20190125,"Cameroon authorities assisted 60,000 IDPs in the separatist areas, but are unable to reach most of the displaced in need because many have fled to remote areas and are trapped by ongoing fighting

437,500 IDPs - 60,000 IDPs reached by the Cameroonian authorities",CMR003People facing restricted access constraints,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Buildings damaged,0,,Medium,2,,,CMR004Buildings damaged,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Buildings destroyed,0,,Medium,2,,,CMR004Buildings destroyed,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Crisis affected groups,3,,Medium,2,,,CMR004Crisis affected groups,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Economic Losses,x,,Medium,2,,,CMR004Economic Losses,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,Injuries reported,0,,Medium,2,,,CMR004Injuries reported,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,People facing limited access constraints,x,,Medium,2,,,CMR004People facing limited access constraints,2019-02-13,Humanitarian development
CAR refugees in Cameroon,CMR004,Cameroon,People facing restricted access constraints,x,,Medium,2,,,CMR004People facing restricted access constraints,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Buildings damaged,x,,Medium,2,,,COD001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Buildings destroyed,x,,x,x,,,COD001Buildings destroyed,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Crisis affected groups,5,,Medium,2,,,COD001Crisis affected groups,2019-02-13,Humanitarian development
Complex crisis in DRC,COD001,DRC,Economic Losses,1700,WFP accessed 06/02/2019,Medium,2,https://www1.wfp.org/countries/democratic-republic-congo,"The 2016 Cost of Hunger in Africa study found that undernutrition costs the DRC 4.6% of its GDP, equivalent to US$ 1.7 billion every year",COD001Economic Losses,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,Buildings damaged,x,,Medium,2,,No information available,ERI001Buildings damaged,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,Buildings destroyed,x,,x,x,,No information available,ERI001Buildings destroyed,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,People facing limited access constraints,x,,Medium,2,,No information available,ERI001People facing limited access constraints,2019-02-13,Humanitarian development
Complex crisis in Eritrea,ERI001,Eritrea,People facing restricted access constraints,x,,Medium,2,,No information available,ERI001People facing restricted access constraints,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Buildings damaged,x,,Medium,2,,No data available,THA001Buildings damaged,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Buildings destroyed,x,,x,x,,No data available,THA001Buildings destroyed,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Crisis affected groups,2,"UNHCR 31/12/2018, Border Consortium 31/12/2018",Medium,2,http://data.unhcr.org/thailand/regional.php https://reliefweb.int/sites/reliefweb.int/files/resources/Thailand%20Report%202019_22012019_LowRes.pdf https://www.theborderconsortium.org/media/119470/2018-12-december-map-tbc-unhcr.pdf,Non host (in the south) and refugees (at the border with myanmar),THA001Crisis affected groups,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Economic Losses,x,,Medium,2,,No data available,THA001Economic Losses,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,Illness cases reported,x,,Medium,2,,No data available,THA001Illness cases reported,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,People facing limited access constraints,x,,Medium,2,,No data available,THA001People facing limited access constraints,2019-02-13,Humanitarian development
Multiple situations in Thailand,THA001,Thailand,People facing restricted access constraints,x,,Medium,2,,No data available,THA001People facing restricted access constraints,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Buildings damaged,x,,Medium,2,,No data available,THA002Buildings damaged,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Buildings destroyed,x,,x,x,,No data available,THA002Buildings destroyed,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Crisis affected groups,1,x,Medium,2,x,Non host population though there might also be displaced population (no information found),THA002Crisis affected groups,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Economic Losses,x,,Medium,2,,No data available,THA002Economic Losses,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,Illness cases reported,x,,Medium,2,,No data available,THA002Illness cases reported,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,People facing limited access constraints,x,,Medium,2,,No data available,THA002People facing limited access constraints,2019-02-13,Humanitarian development
Conflict in southern Thailand ,THA002,Thailand,People facing restricted access constraints,x,,Medium,2,,No data available,THA002People facing restricted access constraints,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Buildings damaged,x,,Medium,2,,No data available,THA003Buildings damaged,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Buildings destroyed,x,,x,x,,No data available,THA003Buildings destroyed,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Crisis affected groups,1,"UNHCR 31/12/2018, Border Consortium 31/12/2018",Medium,2,http://data.unhcr.org/thailand/regional.php https://reliefweb.int/sites/reliefweb.int/files/resources/Thailand%20Report%202019_22012019_LowRes.pdf https://www.theborderconsortium.org/media/119470/2018-12-december-map-tbc-unhcr.pdf,Refugee populations,THA003Crisis affected groups,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Economic Losses,x,,Medium,2,,No data available,THA003Economic Losses,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,Illness cases reported,x,,Medium,2,,No data available,THA003Illness cases reported,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,People facing limited access constraints,x,,Medium,2,,No data available,THA003People facing limited access constraints,2019-02-13,Humanitarian development
Myanmar refugees in Thailand,THA003,Thailand,People facing restricted access constraints,x,,Medium,2,,No data available,THA003People facing restricted access constraints,2019-02-13,Humanitarian development
Drought in Zambia,ZMB002,Zambia,Buildings damaged,0,,Medium,2,,No damages due to drought,ZMB002Buildings damaged,2019-02-13,Humanitarian development
Drought in Zambia,ZMB002,Zambia,Buildings destroyed,0,,Medium,2,,No damages due to drought,ZMB002Buildings destroyed,2019-02-13,Humanitarian development
Mixed migration flows in Spain,ESP002,Spain,Buildings damaged,x,,Medium,2,,,ESP002Buildings damaged,2019-02-14,Humanitarian development
Mixed migration flows in Spain,ESP002,Spain,Buildings destroyed,x,,x,x,,,ESP002Buildings destroyed,2019-02-14,Humanitarian development
Mixed migration flows in Spain,ESP002,Spain,Economic Losses,x,,Medium,2,,,ESP002Economic Losses,2019-02-14,Humanitarian development
Mixed migration flows in Spain,ESP002,Spain,Illness cases reported,x,,Medium,2,,,ESP002Illness cases reported,2019-02-14,Humanitarian development
Mixed migration flows in Spain,ESP002,Spain,Injuries reported,x,,Medium,2,,,ESP002Injuries reported,2019-02-14,Humanitarian development
Mixed migration flows in Spain,ESP002,Spain,People facing limited access constraints,x,,Medium,2,,,ESP002People facing limited access constraints,2019-02-14,Humanitarian development
Mixed migration flows in Spain,ESP002,Spain,People facing restricted access constraints,x,,Medium,2,,,ESP002People facing restricted access constraints,2019-02-14,Humanitarian development
Rakhine Conflict,MMR002,Myanmar,Buildings damaged,x,,x,x,,No data available,MMR002Buildings damaged,2019-02-14,Humanitarian development
Rakhine Conflict,MMR002,Myanmar,Buildings destroyed,x,,x,x,,No data available,MMR002Buildings destroyed,2019-02-14,Humanitarian development
Rakhine Conflict,MMR002,Myanmar,Economic Losses,x,,x,x,,No data available,MMR002Economic Losses,2019-02-14,Humanitarian development
Rakhine Conflict,MMR002,Myanmar,People facing limited access constraints,x,,Medium,2,,No data available,MMR002People facing limited access constraints,2019-02-14,Humanitarian development
Rakhine Conflict,MMR002,Myanmar,People facing restricted access constraints,x,,Medium,2,,No data available,MMR002People facing restricted access constraints,2019-02-14,Humanitarian development
Kachin and Shan Conflict,MMR003,Myanmar,Buildings damaged,x,,Medium,2,,No data available,MMR003Buildings damaged,2019-02-14,Humanitarian development
Kachin and Shan Conflict,MMR003,Myanmar,Buildings destroyed,x,,x,x,,No data available,MMR003Buildings destroyed,2019-02-14,Humanitarian development
Kachin and Shan Conflict,MMR003,Myanmar,Economic Losses,x,,Medium,2,,No data available,MMR003Economic Losses,2019-02-14,Humanitarian development
Kachin and Shan Conflict,MMR003,Myanmar,Illness cases reported,x,,Medium,2,,No data available,MMR003Illness cases reported,2019-02-14,Humanitarian development
Kachin and Shan Conflict,MMR003,Myanmar,Injuries reported,x,,Medium,2,,No data available,MMR003Injuries reported,2019-02-14,Humanitarian development
Kachin and Shan Conflict,MMR003,Myanmar,People facing limited access constraints,x,,Medium,2,,No data available,MMR003People facing limited access constraints,2019-02-14,Humanitarian development
Kachin and Shan Conflict,MMR003,Myanmar,People facing restricted access constraints,x,,Medium,2,,No data available,MMR003People facing restricted access constraints,2019-02-14,Humanitarian development
Refugees from Mali in Mauritania,MRT002,Mauritania,Economic Losses,x,,Medium,2,,,MRT002Economic Losses,2019-02-14,Humanitarian development
Refugees from Mali in Mauritania,MRT002,Mauritania,People facing limited access constraints,x,,Medium,2,,,MRT002People facing limited access constraints,2019-02-14,Humanitarian development
Refugees from Mali in Mauritania,MRT002,Mauritania,People facing restricted access constraints,x,,Medium,2,,,MRT002People facing restricted access constraints,2019-02-14,Humanitarian development
Complex crisis in South Sudan,SSD001,South Sudan,Buildings damaged,x,,Medium,2,,,SSD001Buildings damaged,2019-02-14,Humanitarian development
Complex crisis in South Sudan,SSD001,South Sudan,Buildings destroyed,x,,x,x,,,SSD001Buildings destroyed,2019-02-14,Humanitarian development
Complex crisis in South Sudan,SSD001,South Sudan,Economic Losses,14369,World Bank,Medium,2,https://databank.worldbank.org/data/reports.aspx?source=2&type=metadata&series=NY.GDP.MKTP.CD,Result difference between GDP in 2011 year of independence and 2016 latest data available,SSD001Economic Losses,2019-02-14,Humanitarian development
Complex crisis in South Sudan,SSD001,South Sudan,Injuries reported,x,,Medium,2,,,SSD001Injuries reported,2019-02-14,Humanitarian development
Complex crisis in South Sudan,SSD001,South Sudan,People facing limited access constraints,x,,Medium,2,,,SSD001People facing limited access constraints,2019-02-14,Humanitarian development
Complex crisis in South Sudan,SSD001,South Sudan,People facing restricted access constraints,1500000,OCHA HNO 13/12/2018,Medium,2,https://reliefweb.int/sites/reliefweb.int/files/resources/South_Sudan_2019_Humanitarian_Needs_Overview.pdf,,SSD001People facing restricted access constraints,2019-02-14,Humanitarian development
Conflict in Burkina Faso,BFA002,Burkina Faso,Buildings damaged,x,,x,x,,,BFA002Buildings damaged,2019-02-15,Humanitarian development
Conflict in Burkina Faso,BFA002,Burkina Faso,Buildings destroyed,x,,x,x,,,BFA002Buildings destroyed,2019-02-15,Humanitarian development
