Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,22320,908000,771000,260000,x,x,0,x,x,#N/A,x,137000,0,0,146000,626000,4,x,x,1.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,3.0
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,148765,3449000,1261000,200000,x,x,76,x,0,#N/A,x,2188000,0,0,0,1261000,2,x,x,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,374096,2509000,1434000,817000,x,x,5,x,0,#N/A,x,1076000,0,0,0,1434000,2,x,x,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0
Multiple situations in Thailand,"Conflict,Displacement",THA001,Thailand,THA,30342,3800000,91000,91000,x,x,29,x,x,#N/A,x,3709000,0,91000,0,0,2,x,x,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,18330,3458000,x,x,x,x,29,x,x,#N/A,x,3458000,x,x,x,x,1,x,x,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,12012,342000,91000,91000,0,x,0,x,x,#N/A,x,252000,0,91000,0,0,1,x,x,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,5130,1531000,212000,36000,x,x,0,x,x,#N/A,x,1319000,174000,38000,x,x,3,x,x,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,163610,12474000,11000,11000,x,x,1791,0,0,#N/A,x,12464000,0,11000,x,x,4,x,x,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,333028,52050000,16617000,8310000,x,x,58,x,x,#N/A,x,35433000,11604000,4762000,251000,0,4,x,x,1.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,3.0
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,203090,42290000,6896000,3810000,x,x,0,0,0,#N/A,x,35394000,4765000,1901000,230000,0,2,x,x,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0
