,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human,,,
Southern Africa Regional Food Security Crisis,Regional crisis,REG012,"Lesotho,Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe","LSO,MDG,MWI,NAM,SWZ,ZMB,ZWE",5,0.8186331088425465,4.1,4.55,5,0.823710045834783,4.1,4.55,4.6,5,0.6928176592657889,3.4,4.2,3.5,0.00800508932831469,0.3,1.9,2.9,2.809733340401845e-06,0.1,1.5,1.7,3.2,,,
Nagorno-Karabakh Conflict,Regional crisis,REG013,"Armenia,Azerbaijan","ARM,AZE",3,0.537761061070969,2.6,2.8,2.6,0.45120921305182343,2.2,2.4000000000000004,2.6,3.3,0.4997447677386422,2.5,2.9,2.8,0.031664964249233915,1.1,2,3.1,4.6986721144024515e-05,2.3,2.7,2.4,2.7,,,
Burundi and DRC refugees in Rwanda,International displacement,RWA002,Rwanda,RWA,1.7,0.43153627888123225,2.1,1.9,2.2,0.47365697132801987,2.3,2.25,2.1,1.1,0.030594405594405596,0.1,0.6000000000000001,3.1,1,5,4.1,x,x,x,x,4.1,2.8,,,
Complex crisis in Sudan,Multiple crises country,SDN001,Sudan,SDN,5,0.7746999158249158,3.9,4.45,5,1.0086206896551724,5,5,4.8,5,0.6581196581196581,3.3,4.15,5,0.15701298701298702,5,5,4.4,3.753246753246753e-05,1.9,3.2,4.3,4.2,,,
Refugees in Sudan,International displacement,SDN005,Sudan,SDN,3.3,0.037568602693602696,0.1,1.7,3.7,0.28032327586206895,1.4,2.55,2.1,4.4,1,5,4.7,4.3,0.08057199969247328,2.7,3.5,2.6,4.7666641039440304e-06,0.2,1.4,2.6,3.9,,,
Floods in Sudan ,Flood,SDN006,Sudan,SDN,5,0.7746999158249158,3.9,4.45,5,1,5,5,4.8,1.7,0.006767241379310345,0,0.85,2.8,0.2770700636942675,5,3.9,2.7,0.00026751592356687897,5,3.9,3.9,2.7,,,
Refugees from Ethiopia,International displacement,SDN007,Sudan,SDN,3.8,0.07575757575757576,0.3,2.05,3.8,0.2980603448275862,1.5,2.65,2.4,4.4,1,5,4.7,2.6,0.005133767172812726,0.2,1.4,0,0,0,0,0.7,3.3,,,
Violence West-Darfur,Other type of violence,SDN008,Sudan,SDN,3.2,0.03344276094276094,0.1,1.6500000000000001,0.9,0.03961206896551724,0.1,0.5,1.1,2.5,0.5533188248095756,2.7,2.6,3.6,0.33136676499508355,5,4.3,3.1,0.00015339233038348082,5,4.1,4.2,3.5,,,
Drought in Senegal,Drought,SEN002,Senegal,SEN,3.8,1,5,4.4,4.1,1,5,4.55,4.5,3.3,0.1907953797354719,0.9,2.1,x,x,x,x,0,0,0,0,0,1.2,,,
Complex crisis in El Salvador,Complex crisis,SLV001,El Salvador,SLV,2.2,0.999034749034749,5,3.6,2.8,1,5,3.9,3.8,3.3,0.47761194029850745,2.4,2.8499999999999996,1.6,0.0040625,0.1,0.9,4.2,0.0002925,5,4.6,3.3,3.1,,,
Complex crisis in Somalia,Complex crisis,SOM001,Somalia,SOM,4.7,1,5,4.85,4,1,5,4.5,4.7,4.5,0.9987940336401142,5,4.75,5,0.2371631926792069,5,5,4.7,0.00011661159125571936,5,4.9,5,4.9,,,
Mixed Migration Flows in Somalia,International displacement,SOM002,Somalia,SOM,2.4,0.04596550514872318,0.1,1.25,0.4,0.08390986988257695,0.4,0.4,0.8,0,0.018910741301059002,0,0,2,1,5,3.5,2.8,0.00364,5,3.9,3.7,2.3,,,
Drought in Somalia,Drought,SOM005,Somalia,SOM,4.5,0.8,4,4.25,3.9,0.9364646144081245,4.7,4.3,4.3,3.2,0.1762233970448692,0.8,2,2.9,0.04346153846153846,1.4,2.2,0,0,0,0,1.2,1.6,,,
Complex crisis in South Sudan,Complex crisis,SSD001,South Sudan,SSD,4.7,0.9994893912892326,5,4.85,3.6,1,5,4.3,4.6,4.3,1,5,4.65,5,0.3797175866495507,5,5,4.4,9.644843816859221e-05,4.8,4.6,4.8,4.7,,,
Food Security Crisis in Eswatini,Food Security,SWZ001,Eswatini,SWZ,2.1,1.0095348837209301,5,3.55,0.2,1.0654545454545454,5,2.6,3.1,2.2,0.5776450511945392,2.9,2.55,0,0,0,0,0,0,0,0,0,1.4,,,
Syrian conflict,Complex crisis,SYR001,Syria,SYR,3.8,1.008440886565376,5,4.4,4.1,1,5,4.55,4.5,4.6,1,5,4.8,5,0.8862285714285715,5,5,4.9,0.00016017142857142858,5,5,5,4.9,,,
Complex crisis in Chad,Multiple crises country,TCD001,Chad,TCD,5,1,5,5,4.1,1,5,4.55,4.8,4,0.4528784902065845,2.2,3.1,4.3,0.1371105560667806,4.6,4.5,3.1,1.9061390824240832e-05,1,2.1,3.6,3.4,,,
Boko Haram in Chad,Conflict,TCD003,Chad,TCD,2.2,0.015815597204574334,0,1.1,0,0.04084062630231589,0.2,0.1,0.6,2.2,1,5,3.6,3.7,0.6020408163265306,5,4.4,2.6,0.00010349854227405248,5,3.8,4.1,3.9,,,
CAR refugees in Chad,International displacement,TCD004,Chad,TCD,3.6,0.12279463151207115,0.5,2.05,2.2,0.2652854676430315,1.3,1.75,1.9,2.5,0.2253141831238779,1.1,1.8,3.2,0.17231075697211157,5,4.1,x,x,x,x,4.1,3.2,,,
Darfur refugees in Chad,International displacement,TCD005,Chad,TCD,3.9,0.16333465692503177,0.7,2.3,1.4,0.15342025361671727,0.7,1.0499999999999998,1.7,2.6,0.4357780364765231,2.2,2.4000000000000004,3.7,0.3303650934995548,5,4.4,2,2.226179875333927e-05,1.1,1.6,3.3,2.9,,,
Tibesti Conflict in Chad,Conflict,TCD006,Chad,TCD,3.9,0.17471410419313851,0.8,2.35,0,0.002262308745609335,0,0,1.3,0.1,1,5,2.55,x,x,x,x,0.9,0.00010526315789473685,5,3,3,2.8,,,
Multiple situations in Thailand,Multiple crises country,THA001,Thailand,THA,2.5,0.059390475444812,0.2,1.35,1.8,0.05365809407175579,0.2,1,1.2,0.8,0.02564102564102564,0.1,0.45,2.8,1,5,3.9,2.6,0.0006923076923076923,5,3.8,3.9,2.6,,,
Conflict in southern Thailand ,Conflict,THA002,Thailand,THA,2.1,0.035878564857405704,0.1,1.1,1.8,0.05228224550581334,0.2,1,1.1,x,x,x,x,x,x,x,x,2.6,x,x,2.6,2.6,2.6,,,
Myanmar refugees in Thailand,International displacement,THA003,Thailand,THA,0,1.7616316623930788e-05,0,0,0,0.0013758485659424564,0,0,0,0.8,1,5,2.9,2.8,1,5,3.9,x,x,x,x,3.9,3.4,,,
Venezuelan refugees in Trinidad and Tobago,International displacement,TTO002,Trinidad and Tobago,TTO,1.2,1,5,3.1,0.5,0.9965635738831615,5,2.75,2.9,0.5,0.041379310344827586,0.2,0.35,2.5,1,5,3.8,2.5,0.001,5,3.8,3.8,2.4,,,
Mixed migration flows in Tunisia,International displacement,TUN002,Tunisia,TUN,3.7,1,5,4.35,3.6,1,5,4.3,4.3,x,x,x,x,x,x,x,x,4.2,x,x,4.2,4.2,4.2,,,
Complex situation in Turkey,Multiple crises country,TUR001,Turkey,TUR,4.3,0.49234437327027275,2.4,3.3499999999999996,5,0.6356608449234636,3.2,4.1,3.8,3.8,0.10932457891104437,0.5,2.15,5,0.6928851731786384,5,5,3.4,4.1801740317351986e-05,2.1,2.8,4.2,3.4,,,
Syrian Refugees in Turkey,International displacement,TUR002,Turkey,TUR,3.5,0.1715473669165703,0.8,2.15,5,0.4287221807230344,2.1,3.55,2.9,3.7,0.1529675313900105,0.7,2.2,5,0.6745615621045019,5,5,x,x,x,x,5,4,,,
Mixed Migration Flows in Turkey,International displacement,TUR003,Turkey,TUR,3.7,0.23063550017540896,1.1,2.4000000000000004,5,0.4461281257781098,2.2,3.6,3.1,3.8,0.15576994631371924,0.7,2.25,5,0.6928851731786384,5,5,2.4,8.360348063470398e-06,0.4,1.4,3.8,3.1,,,
Kurdish Conflict,Conflict,TUR004,Turkey,TUR,3.8,0.25413120590413574,1.2,2.5,3.7,0.15383156072516865,0.7,2.2,2.4,x,x,x,x,x,x,x,x,3.3,x,x,3.3,3.3,3.3,,,
International Displacement in Tanzania,International displacement,TZA002,Tanzania,TZA,3.8,0.21110860239331677,1,2.4,3.5,0.19712095783518177,0.9,2.2,2.3,4.3,1,5,4.65,3.4,0.021592205740366893,0.7,2.1,0,0,0,0,1.2,3.4,,,
International Displacement in Uganda,International displacement,UGA005,Uganda,UGA,3,0.3324456413325354,1.6,2.3,2.9,0.1619430627579638,0.8,1.85,2.1,2.8,0.19657561103123775,0.9,1.8499999999999999,4.5,1,5,4.8,x,x,x,x,4.8,3.7,,,
Conflict in Ukraine,Conflict,UKR002,Ukraine,UKR,2.9,0.09184691605240898,0.4,1.65,2.7,0.14995008794029566,0.7,1.7000000000000002,1.7,3.7,0.8559201141226819,4.3,4,4.5,0.27,5,4.8,0.7,5.555555555555555e-07,0,0.4,3.3,3.7,,,
Complex crisis in Venezuela,Complex crisis,VEN001,Venezuela,VEN,4.9,1,5,4.95,4.8,1,5,4.9,4.9,4.9,1,5,4.95,5,0.1985626732817744,5,5,5,0.00030107252298263533,5,5,5,5,,,
Conflict in Yemen,Complex crisis,YEM001,Yemen,YEM,4.5,1,5,4.75,5,0.9967532467532467,5,5,4.9,4.9,0.8827361563517915,4.4,4.65,5,0.14760147601476015,4.9,5,3.6,1.2287822878228782e-05,0.6,2.1,4,4.4,,,
Mixed migration flows in Yemen,International displacement,YEM002,Yemen,YEM,4.5,1,5,4.75,5,0.9967532467532467,5,5,4.9,4.9,0.8827361563517915,4.4,4.65,5,0.14760147601476015,4.9,5,3.6,1.2287822878228782e-05,0.6,2.1,4,4.4,,,
Drought in Zambia,Drought,ZMB002,Zambia,ZMB,4.8,1.0124134034625163,5,4.9,3.6,0.6620108695652174,3.3,3.45,4.3,3.9,0.5549626467449307,2.8,3.3499999999999996,0,0,0,0,0,0,0,0,0,2,,,
Complex crisis in Zimbabwe,Complex crisis,ZWE001,Zimbabwe,ZWE,4.3,1.0100995217784672,5,4.65,4,1,5,4.5,4.6,4.1,0.6238992093591309,3.1,3.5999999999999996,3.5,0.031114774366371317,1,2.3,1.6,1.442406758705955e-06,0.1,0.9,1.7,2.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
