,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CrisisID,Data Reliability,Information gaps (# indicator missing),Impact of the crisis,Area affected,People in the affected area,Geographical,People affected,People displaced,Crisis related fatalities,People affected by categories,Human,Conditions of people affected,# of people facing minimal humanitarian needs (level 1),# of people facing stressed humanitarian conditions and needs (level 2),# of people facing moderate humanitarian conditions and needs (level 3),# of people facing severe humanitarian conditions and needs (level 4),# of people facing extreme humanitarian conditions and needs (level 5),Complexity of the crisis,Society and safety,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Rule of Law,Operating environment,Diversity of groups affected,Humanitarian Access,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints
EGY002,2.4,0,2.4,2,3,2.5,2,2,3,2.5,2.3,3,3,3,3,3,3,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ERI001,2.6,0,2.7,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1.9,1.3333333333333333,1,1,3,2,1,2.5,2,3,3,3,3,3,3,3,3,3,3,3,3,3
ESP002,2.4,0,2.2,2,2,2,2,2,3,2.5,2.3,3,3,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ETH001,2,0,2.5,2,3,2.5,3,2,2,2,2.5,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ETH002,1.6,0,1.6,1,3,2.1,1,1,2,1.5,1.3,2,2,2,2,2,2,1.1,1.1666666666666667,1,1,2,1.5,1,1,1,1,x,x,x,x,x,x,x,x,x,x,1,1
ETH003,1.9,1,2,2,2,2,2,2,x,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,x,2
ETH004,2.4,0,2.7,1,3,2.1,3,3,3,3,3,3,3,3,3,3,3,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
FJI002,2.3,0,2.1,2,2,2,2,3,1,2.1,2.1,3,3,3,3,3,3,1.2,1,1,1,1,1,1,1.4027777777777777,1,1.8055555555555556,2,1,2,2,1.75,2,2,2,2,2,1,1.6666666666666667
GRC002,1.9,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
GTM001,1.7,0,1.3,1,1,1,1,2,2,2,1.5,2,2,2,2,2,2,1.4,1.1666666666666667,1,1,2,1.5,1,1.5416666666666665,2,1.0833333333333333,1,1,2,1,1.25,1,1,1,1,1,1,1
GTM003,1.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
HND001,1.7,0,1.5,1,1,1,1,2,3,2.5,1.8,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
HND002,2,0,2.2,2,2,2,2,3,2,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
HTI001,1.8,0,1.9,1,1,1,2,3,2,2.5,2.3,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
IDN002,x,2,3,3,3,3,3,x,3,3,3,x,x,x,x,x,x,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
IDN006,1.9,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
IDN007,2.5,0,2.7,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
IND002,2.1,3,2.7,2,2,2,x,x,3,3,3,2,2,x,x,x,x,1.7,1.3333333333333333,1,1,3,2,1,2,x,2,2,2,2,2,2,2,2,2,2,2,2,2
IRN004,2.7,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1.9,1.3333333333333333,1,1,3,2,1,2.5,3,2,2,2,2,2,2,2,2,2,2,2,2,2
IRQ001,1.8,0,2,1,2,1.5,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
IRQ002,1.9,0,2.4,2,3,2.5,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
IRQ003,2,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ITA002,1.9,2,2,2,2,2,x,x,2,2,2,2,2,x,x,x,x,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
JOR002,2.1,0,2.7,2,2,2,3,3,3,3,3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KEN002,1.8,1,2.2,1,2,1.5,3,2,x,2,2.5,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1
LBN002,1.8,0,2,1,2,1.5,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LBN004,2.3,1,2.2,1,2,1.5,3,x,2,2,2.5,3,3,3,3,3,3,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LBY001,1.8,0,1.9,1,1,1,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LBY002,1.8,0,2,1,2,1.5,2,2,3,2.5,2.3,2,2,2,2,2,2,1.4,1.3333333333333333,1,1,3,2,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
LSO002,1.9,0,2.2,2,2,2,2,3,2,2.5,2.3,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MAR002,x,3,2.7,1,3,2.1,x,x,3,3,3,x,x,x,x,x,x,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MDG002,1.8,1,2.2,1,2,1.5,2,3,x,3,2.5,2,2,2,2,2,2,1.3,1.1666666666666667,1,1,2,1.5,1,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2
MEX001,x,2,2.7,2,2,2,x,3,3,3,3,x,x,x,x,x,x,1.8,1.3333333333333333,1,1,3,2,1,2.1944444444444446,2,2.388888888888889,x,3,2,3,2.6666666666666665,2,3,2.5,2,x,x,2
MEX002,x,2,2.7,2,3,2.5,3,2,3,2.5,2.8,x,x,x,x,x,x,2.1,1.3333333333333333,1,1,3,2,1,2.833333333333333,x,2.833333333333333,x,3,2,3,2.6666666666666665,x,3,3,x,x,x,x
MEX003,x,1,2.8,2,3,2.5,3,3,3,3,3,x,x,x,x,x,x,1.4,1.3333333333333333,1,1,3,2,1,1.5277777777777777,1,2.0555555555555554,x,3,2,3,2.6666666666666665,2,1,1.5,2,x,x,2
MEX004,1.8,0,1.7,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MLI001,1.8,0,1.8,1,2,1.5,2,2,2,2,2,2,2,2,2,2,2,1.6,1.1666666666666667,1,1,2,1.5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MMR001,2,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MMR002,2,0,2.2,2,2,2,2,2,3,2.5,2.3,2,2,2,2,2,2,1.7,1.3333333333333333,1,1,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
