,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the total population affected,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
Food Security Crisis in Namibia,Drought,NAM002,Namibia,NAM,4.9,1,5,4.95,1.6,1,5,3.3,4.3,3.1,0.7534745201853077,3.8,3.45,0,0,0,0,0,0,0,0,0,2.1
Lake Chad basin crisis in Niger,Conflict,NER002,Niger,NER,3.7,0.12386989816057473,0.5,2.1,0,0.03230769230769231,0.1,0.05,1.2,2.4,0.9761904761904762,4.9,3.6500000000000004,3.6,0.41097560975609754,5,4.3,2.6,8.414634146341464e-05,4.2,3.4,3.9,3.8
Mali/Burkina Faso conflict,Conflict,NER003,Niger,NER,3.9,0.16627615062761505,0.7,2.3,3.2,0.3466923076923077,1.7,2.45,2.4,3,0.21111604171289106,1,2,3.9,0.26694692590646346,5,4.5,4.1,0.0003625853914871256,5,4.6,4.6,3.6
Nigerian Refugees,Displacement,NER004,Niger,NER,2.7,0.03299597379016342,0.1,1.4000000000000001,2.3,0.1945,0.9,1.5999999999999999,1.5,2.3,0.15740557642871267,0.7,1.5,2.9,0.12437185929648241,4.1,3.5,2.2,4.1457286432160806e-05,2.1,2.2,2.9,2.3
Complex crisis in Niger,"Conflict,Displacement,Drought,Floods,Food Security,Violence",NER006,Niger,NER,5,0.9366132470198153,4.7,4.85,4.8,1.0438076923076922,5,4.9,4.9,4.2,0.36478868049670216,1.8,3,4.2,0.09535353535353536,3.2,3.7,4.1,8e-05,4,4.1,3.9,3.5
Complex crisis in Nigeria,"Conflict,Displacement,Violence",NGA001,Nigeria,NGA,4.9,1,5,4.95,5,0.8587520735193893,4.3,4.65,4.8,5,0.5712267776746229,2.8,3.9,5,0.053581258792586704,1.8,3.4,5,4.100731368454165e-05,2.1,3.6,3.5,3.7
Middle belt conflict,"Violence,Conflict",NGA003,Nigeria,NGA,3.6,0.15697047553169297,0.7,2.15,4.2,0.07936167750397559,0.4,2.3000000000000003,2.2,4.2,0.5799621928166352,2.9,3.55,4,0.054572546097969826,1.8,2.9,4.1,6.51890482398957e-05,3.3,3.7,3.3,3.4
Lake Chad basin crisis in Nigeria,"Conflict,Displacement",NGA004,Nigeria,NGA,3.7,0.17338954950206967,0.8,2.25,4,0.06901015435128312,0.3,2.15,2.2,4.5,1,5,4.75,5,0.2894409937888199,5,5,4.4,7.167701863354037e-05,3.6,4,4.6,4.7
Northwest Banditry,"Violence,Displacement",NGA007,Nigeria,NGA,4,0.26099673902302445,1.2,2.6,5,0.18810624991963104,0.9,2.95,2.8,4.9,0.6377577760054688,3.2,4.050000000000001,4.1,0.02811919394026011,0.9,2.5,4.9,9.289695583821638e-05,4.6,4.8,3.9,4
Cameroonian Refugees in Nigeria,Displacement,NGA008,Nigeria,NGA,3.4,0.11953511863587953,0.5,1.95,3.7,0.0543294227579201,0.2,1.9500000000000002,2,0.8,0.007889546351084813,0,0.4,2.9,1,5,4,x,x,x,x,4,2.6
Socioeconomic crisis in Nicaragua,Socio-political,NIC001,Nicaragua,NIC,3.5,1,5,4.25,2.9,1,5,3.95,4.1,2.9,0.24631842178382884,1.2,2.05,3.4,0.1410039481105471,4.7,4.1,1.3,4.512126339537507e-06,0.2,0.8,2.8,2.4
Karnali Earthquake,Earthquake,NPL003,Nepal,NPL,3.3,0.6370073247296826,3.1,3.2,3.6,0.41049202811589236,2,2.8,3,2.9,0.1364851319746074,0.6,1.75,2,0.016523867809057527,0.6,1.3,0,0,0,0,0.7,1.3
Complex crisis in Pakistan,"Displacement,Conflict",PAK001,Pakistan,PAK,4.8,1,5,4.9,5,1,5,5,5,5,0.3851394072895633,1.9,3.45,5,0.03810835142720966,1.3,3.2,4.4,1.2169676428533601e-05,0.6,2.5,2.9,3.2
Kashmir conflict in Pakistan,Conflict,PAK004,Pakistan,PAK,1.9,0.01724911789124118,0,0.95,2.1,0.017047053784494892,0,1.05,1,x,x,x,x,x,x,x,x,0.9,x,x,0.9,0.9,0.9
Floods in Pakistan ,Other seasonal event,PAK005,Pakistan,PAK,4.7,0.8689173412204234,4.3,4.5,5,0.13461420791776296,0.6,2.8,3.8,5,1,5,5,3.5,0.00909090909090909,0.3,1.9,4.6,5.26969696969697e-05,2.6,3.6,2.9,4.2
Venezuela displacement in Panama,Displacement,PAN002,Panama,PAN,3.1,1,5,4.05,0,0.013404206147446267,0,0,2.5,0.4,1,5,2.7,2.5,1,5,3.8,1.6,0.0002413793103448276,5,3.3,3.6,3.2
Venezuela displacement in Peru,Displacement,PER002,Peru,PER,3.8,0.14790234375,0.7,2.25,5,1,5,5,4,4.4,0.42939794419970634,2.1,3.25,4.6,0.11011558716914027,3.7,4.2,0,0,0,0,2.7,3
Multiple crises in the Philippines,"Conflict,Cyclone,Violence,Floods,Other seasonal event",PHL001,Philippines,PHL,3.7,0.5541838548479056,2.7,3.2,5,0.6763365219704126,3.4,4.2,3.7,3.4,0.05016069321833937,0.2,1.8,4.1,0.190051365233847,5,4.6,3.2,4.3525277101919434e-05,2.2,2.7,3.8,2.9
Mindanao conflict,"Conflict,Violence",PHL003,Philippines,PHL,3.3,0.3352081027601704,1.6,2.45,4.7,0.24077114268157346,1.2,2.95,2.7,0.9,0.004152064604601554,0,0.45,2.9,1,5,4,3.1,0.001330275229357798,5,4.1,4.1,2.7
2024 Southwest Monsoon,"Cyclone,Floods",PHL015,Philippines,PHL,3,0.21897575208773518,1,2,5,0.43556537928883915,2.1,3.55,2.9,3.4,0.0756143269251016,0.3,1.8499999999999999,4,0.16541353383458646,5,4.5,1.7,4.455583402951824e-06,0.2,1,3.2,2.6
Multiple crises in Papua New Guinea,0,PNG001,Papua New Guinea,PNG,3.5,0.2748200326811818,1.3,2.4,2.2,0.3998472245798676,2,2.1,2.3,1.7,0.06792613033326257,0.3,1,2,0.084375,2.8,2.4,2.6,0.000221875,5,3.8,3.2,2.2
Highlands Violence,Violence,PNG003,Papua New Guinea,PNG,3,0.14061520116592324,0.6,1.8,2.2,0.3875403157358683,1.9,2.05,1.9,1.5,0.05803766973280771,0.2,0.85,2,0.09433962264150944,3.1,2.6,2.6,0.0002679245283018868,5,3.8,3.3,2.3
2024 Monsoon Flooding in Western Province,Floods,PNG005,Papua New Guinea,PNG,3,0.13420483151525858,0.6,1.8,0,0.01230690884399932,0,0,1,0.4,0.3793103448275862,1.9,1.15,0.4,0.03636363636363636,1.2,0.8,0,0,0,0,0.4,0.8
Displacement from Russia-Ukraine conflict in Poland,"Displacement,Conflict",POL002,Poland,POL,4.1,1,5,4.55,5,1,5,5,4.8,2.5,0.02535800312342836,0.1,1.3,4.3,1,5,4.7,0,0,0,0,3.1,2.3
Complex crisis in DPRK,"Socio-political,Floods,Other seasonal event,Food Security",PRK001,DPRK,PRK,3.5,1,5,4.25,4.7,1,5,4.85,4.6,4.9,1,5,4.95,2.2,0.0012990982729634724,0,1.1,2.1,1.1462631820265932e-06,0.1,1.1,1.1,3.7
Conflict in Palestine,"Conflict,Socio-political,Violence",PSE002,Palestine,PSE,1.3,1,5,3.15,2.5,1,5,3.75,3.5,3.6,0.8650793650793651,4.3,3.95,5,1.3738532110091743,5,5,5,0.002450792326939116,5,5,5,4.6
Conflict in West Bank,"Conflict,Displacement,Socio-political,Violence",PSE003,Palestine,PSE,1.3,0.9394190871369295,4.7,3,1.7,0.5851370851370852,2.9,2.3,2.7,3.2,0.7694204685573366,3.8,3.5,5,1.1903044871794872,5,5,3.3,7.892628205128205e-05,3.9,3.6,4.4,4
Conflict in Gaza,"Conflict,Displacement,Socio-political,Violence",PSE004,Palestine,PSE,0,0.06058091286307054,0.2,0.1,1.2,0.4148629148629149,2,1.6,0.9,3.1,1,5,4.05,5,1.5726086956521739,5,5,5,0.005024782608695652,5,5,5,4.6
Lake Chad basin regional crisis,0,REG001,"Nigeria,Niger,Chad,Cameroon","NGA,NER,TCD,CMR",4.3,0.09438095043203781,0.4,2.35,4.4,1,5,4.7,3.8,4.2,0.5153217568947907,2.6,3.4000000000000004,5,0.49328768357509684,5,5,4.6,0.0001591134336426705,5,4.8,4.9,4.3
Venezuela Regional Crisis,0,REG002,"Venezuela,Brazil,Colombia,Ecuador,Peru,Trinidad and Tobago,Chile,Dominican Republic,Panama","VEN,BRA,COL,ECU,PER,TTO,CHL,DOM,PAN",5,0.4558411656092679,2.2,3.6,5,0.25611645544821754,1.2,3.1,3.4,5,0.3012705105362823,1.5,3.25,5,0.18571671852987165,5,5,3.9,7.926555509110894e-06,0.4,2.2,4,3.7
Syrian Regional Crisis,0,REG004,"Syria,Türkiye,Iraq,Egypt,Jordan,Lebanon","SYR,TUR,IRQ,EGY,JOR,LBN",4.6,0.22815732703913433,1.1,2.8499999999999996,5,0.7082503451255625,3.5,4.25,3.6,5,0.1964051898583502,0.9,2.95,5,0.5100757575757576,5,5,5,7.936868686868686e-05,4,4.5,4.8,4.1
Eastern Mediterranean Route ,0,REG006,"Türkiye,Greece","TUR,GRC",3.6,0.16715635538045473,0.8,2.2,4,0.17174840420514217,0.8,2.4,2.3,2.4,0.0521176614182839,0.2,1.3,3.9,0.5936768149882904,5,4.5,1.1,7.02576112412178e-06,0.4,0.8,3.2,2.4
Central Mediterranean Route,0,REG007,"Algeria,Tunisia,Libya,Italy","DZA,TUN,LBY,ITA",5,1.0017964627322173,5,5,5,1,5,5,5,2.7,0.01059663671964985,0,1.35,4.5,1,5,4.8,4.2,0.0006521739130434783,5,4.6,4.7,3.5
Western Mediterranean Route,0,REG008,"Algeria,Morocco,Spain","DZA,MAR,ESP",5,0.9999999398997684,5,5,5,1,5,5,5,1.8,0.0027739563834825558,0,0.9,3.7,1,5,4.4,3.1,0.0004227642276422764,5,4.1,4.3,3
Rohingya Regional Crisis,0,REG011,"Bangladesh,Myanmar","BGD,MMR",2.6,0.04788718001124112,0.1,1.35,2.3,0.02207445166638739,0.1,1.2,1.3,3.7,1,5,4.35,4.5,0.2664802237315222,5,4.8,4.9,0.0005145825009988014,5,5,4.9,4.6
Southern Africa Regional Food Security Crisis,0,REG012,"Madagascar,Malawi,Namibia,Eswatini,Zambia,Zimbabwe,Tanzania","MDG,MWI,NAM,SWZ,ZMB,ZWE,TZA",5,0.7795576075479603,3.9,4.45,5,0.6133037074811347,3,4,4.2,5,0.6747901488755147,3.4,4.2,3.9,0.007451958339445504,0.2,2.1,5,4.770426873991492e-05,2.4,3.7,3,3.7
Nagorno-Karabakh Conflict,0,REG013,"Armenia,Azerbaijan","ARM,AZE",2.5,0.2971022318214543,1.4,1.95,1.6,0.23348084846635128,1.1,1.35,1.7,2,0.16601307189542483,0.8,1.4,3.1,0.2795275590551181,5,4.1,1.1,1.1811023622047245e-05,0.6,0.9,2.9,2.2
Eastern Africa Regional Drought Crisis,Drought,REG014,"Ethiopia,Somalia,Kenya","ETH,SOM,KEN",5,0.9340206816081865,4.7,4.85,5,0.6813375976370515,3.4,4.2,4.6,5,0.9760019705126852,4.9,4.95,5,0.021242383819446948,0.7,2.9,3.6,2.271334318779969e-06,0.1,1.9,2.4,4
Turkiye / Syria earthquake,Earthquake,REG015,"Türkiye,Syria","TUR,SYR",3.7,0.1629954052409626,0.7,2.2,4.8,0.251999664000448,1.2,3,2.6,4.6,0.662962962962963,3.3,3.9499999999999997,5,0.17446927374301677,5,5,0,0,0,0,3.5,3.7
Displacement from Russia-Ukraine conflict in Romania,"Conflict,Displacement",ROU002,Romania,ROU,4,1.036143949930459,5,4.5,4.3,1,5,4.65,4.6,0.7,0.00407843137254902,0,0.35,2.7,1,5,3.9,0,0,0,0,2.4,1.5
Displacement from Russia-Ukraine conflict in Russia,"Conflict,Displacement",RUS002,Russia,RUS,5,1,5,5,5,1,5,5,5,2.6,0.008441951273167244,0,1.3,4.4,1,5,4.7,0,0,0,0,3.1,2.3
Burundi and DRC refugees in Rwanda,Displacement,RWA002,Rwanda,RWA,2.2,0.8319416295095258,4.1,3.15,1.3,0.17442827442827444,0.8,1.05,2.2,1.1,0.05363528009535161,0.2,0.65,3,1,5,4,x,x,x,x,4,2.7
Complex crisis in Sudan,"Displacement,Violence,Floods",SDN001,Sudan,SDN,5,0.9853784796573876,4.9,4.95,5,1,5,5,5,5,1,5,5,5,0.2856530612244898,5,5,5,0.00011385714285714285,5,5,5,5
Refugees in Sudan,Displacement,SDN005,Sudan,SDN,5,0.9853784796573876,4.9,4.95,5,1,5,5,5,4.4,0.2654489795918367,1.3,2.85,4.2,0.06988544629814715,2.3,3.3,1.5,9.225801491504575e-07,0,0.8,2.2,2.5
Drought in Senegal,Drought,SEN002,Senegal,SEN,3.8,1.0217109021970603,5,4.4,4.2,1,5,4.6,4.5,3.4,0.18827639751552794,0.9,2.15,0.9,0.00117820324005891,0,0.5,1.7,4.418262150220913e-06,0.2,1,0.8,1.5
Complex crisis in El Salvador,"Displacement,Violence,Floods,Drought",SLV001,El Salvador,SLV,2.2,1,5,3.6,2.7,1,5,3.85,3.7,3.5,0.6473015873015873,3.2,3.35,2.4,0.012015693967631191,0.4,1.4,1.4,2.4521824423737127e-06,0.1,0.8,1.1,2.4
Complex crisis in Somalia,"Conflict,Displacement,Floods,Drought",SOM001,Somalia,SOM,4.7,1,5,4.85,4.2,1,5,4.6,4.7,4.6,1,5,4.8,5,0.4344385026737968,5,5,4.9,0.00013336898395721925,5,5,5,4.9
Mixed Migration Flows in Somalia,Displacement,SOM002,Somalia,SOM,3.3,0.157688016067842,0.7,2,1.4,0.14406417112299466,0.7,1.0499999999999998,1.5,0.2,0.014847809948032665,0,0.1,2.3,1,5,3.7,x,x,x,x,3.7,2.3
Complex crisis in South Sudan,"Conflict,Floods,Displacement",SSD001,South Sudan,SSD,4.7,1.0196208440808316,5,4.85,3.6,1,5,4.3,4.6,4.3,1,5,4.65,5,0.5737903225806451,5,5,3.9,4.6048387096774194e-05,2.3,3.1,4.3,4.5
Displacement from Russia-Ukraine conflict in Slovakia,"Displacement,Conflict",SVK002,Slovakia,SVK,2.8,1,5,3.9,2.5,1,5,3.75,3.8,1,0.022494151520604643,0.1,0.55,3,1,5,4,0,0,0,0,2.5,1.6
Food Security Crisis in Eswatini,Drought,SWZ001,Eswatini,SWZ,2.1,1,5,3.55,0.3,0.9852820932134096,4.9,2.6,3.1,2.2,0.5858921161825726,2.9,2.55,x,x,x,x,0,0,0,0,0,1.4
Syrian conflict,"Conflict,Displacement,Violence",SYR001,Syria,SYR,3.8,1.008440886565376,5,4.4,4.6,1,5,4.8,4.6,4.8,1,5,4.9,5,0.6520886615515772,5,5,5,0.00012523444160272805,5,5,5,5
Türkiye / Syria earthquake in Syria,Earthquake,SYR002,Syria,SYR,2.9,0.311958830256494,1.5,2.2,3.8,0.578772378516624,2.9,3.3499999999999996,2.8,4.1,0.648107232287524,3.2,3.65,3,0.013977272727272727,0.5,1.8,0,0,0,0,1,2.6
Complex crisis in Chad,"Conflict,Displacement",TCD001,Chad,TCD,5,1.0196950444726811,5,5,4.3,1,5,4.65,4.8,3.8,0.31809039906848735,1.6,2.7,4.6,0.2825291181364393,5,4.8,3.2,2.9118136439267888e-05,1.5,2.4,3.9,3.4
Lake Chad basin crisis,Conflict,TCD003,Chad,TCD,2.2,0.01772554002541296,0,1.1,0,0.03863660421297767,0.1,0.05,0.6,2,0.7013698630136986,3.5,2.75,3.5,0.515625,5,4.3,2.8,0.00018359375,5,3.9,4.1,3.5
CAR refugees in Chad,Displacement,TCD004,Chad,TCD,3.6,0.11814247141041931,0.5,2.05,2,0.20667936911188736,1,1.5,1.8,2.6,0.280921895006402,1.4,2,3.3,0.19234275296262535,5,4.2,2.2,3.099361896080219e-05,1.5,1.9,3.3,2.7
Darfur refugees in Chad,Displacement,TCD005,Chad,TCD,4.3,0.29709021601016516,1.4,2.8499999999999996,1.7,0.1655022758547687,0.8,1.25,2.1,3,0.6760473297089863,3.4,3.2,4.4,0.5700094607379376,5,4.7,2.4,2.2232734153263955e-05,1.1,1.8,3.6,3.4
Conflict in northern region,"Conflict,Displacement,Violence",TGO002,Togo,TGO,1.6,0.15738187166758597,0.7,1.15,0.3,0.14762198888202593,0.7,0.5,0.8,1.8,0.300418410041841,1.5,1.65,2.5,0.15041782729805014,5,3.8,2.6,0.0001894150417827298,5,3.8,3.8,2.9
Myanmar refugees in Thailand,Conflict,THA003,Thailand,THA,1.8,0.02351191058740629,0,0.9,0,0.006124360544707832,0,0,0.5,1,0.28941176470588237,1.4,1.2,3,1,5,4,0,0,0,0,2.5,1.9
Food Security Crisis in Timor-Leste,Food Security,TLS003,Timor Leste,TLS,2,1.0053799596503026,5,3.5,0.4,1,5,2.7,3.1,2.4,0.6402985074626866,3.2,2.8,0,0,0,0,0,0,0,0,0,1.6
Venezuelan refugees in Trinidad and Tobago,Displacement,TTO002,Trinidad and Tobago,TTO,1.2,1,5,3.1,0.6,1,5,2.8,3,1.4,0.13847158719790986,0.6,1,2.2,0.16981132075471697,5,3.6,0,0,0,0,2.2,1.6
Mixed migration flows in Tunisia,Displacement,TUN002,Tunisia,TUN,3.7,1.0531024716786819,5,4.35,3.6,1,5,4.3,4.3,0.7,0.006999267518515504,0,0.35,2.8,1,5,3.9,4.2,0.010116279069767442,5,4.6,4.3,2.9
Complex situation in Türkiye,"Displacement,Conflict",TUR001,Türkiye,TUR,4.2,0.43271182256408924,2.1,3.1500000000000004,5,0.612497058131325,3,4,3.6,4.5,0.32626320845341017,1.6,3.05,5,0.3303497821222471,5,5,2.1,1.8254622541514546e-06,0.1,1.1,3.7,3.4
Syrian Refugees in Türkiye,Displacement,TUR002,Türkiye,TUR,3.8,0.26388004625599315,1.2,2.5,5,0.4976465050600141,2.5,3.75,3.2,3.9,0.17025301489713882,0.8,2.35,5,0.46291666666666664,5,5,0,0,0,0,3.5,3
Mixed Migration Flows in Türkiye,Displacement,TUR003,Türkiye,TUR,3.6,0.18245000844561673,0.8,2.2,4,0.18517298187808895,0.9,2.45,2.3,2.2,0.043340111845449926,0.2,1.2000000000000002,3.6,0.4633431085043988,5,4.3,0,1.466275659824047e-06,0.1,0.1,2.8,2.1
Kurdish Conflict,Conflict,TUR004,Türkiye,TUR,3.2,0.10584046879669451,0.4,1.8,2.6,0.06863967992468817,0.3,1.45,1.6,x,x,x,x,4.4,x,x,4.4,0,x,x,0,2.8,2.8
Türkiye / Syria earthquake in Türkiye,Earthquake,TUR005,Türkiye,TUR,3.3,0.12745345165858918,0.5,1.9,3.8,0.15794304542245236,0.7,2.25,2.1,4.1,0.6779913574728058,3.4,3.75,4.1,0.08362637362637362,2.8,3.5,0,0,0,0,2.1,3
Multiple Crises in Tanzania,"Displacement,Drought",TZA001,Tanzania,TZA,4.4,0.49834612779408444,2.4,3.4000000000000004,4.5,0.31758484926861513,1.6,3.05,3.2,4.6,0.7747715138901456,3.9,4.25,3.4,0.013665031534688158,0.5,2,0,0,0,0,1.1,3
International Displacement in Tanzania,Displacement,TZA002,Tanzania,TZA,3.8,0.2112248814630842,1,2.4,3.9,0.21575135787567895,1,2.45,2.4,4.5,1,5,4.75,3.4,0.015584415584415584,0.5,2,0,0,0,0,1.1,3.5
Food Security Crisis in North-East Tanzania,Drought,TZA003,Tanzania,TZA,4.3,0.4032050124181531,2,3.15,2.8,0.10183349139293617,0.5,1.65,2.5,3,0.2975871313672922,1.5,2.25,x,x,x,x,0,0,0,0,0,1.3
International Displacement in Uganda,Displacement,UGA005,Uganda,UGA,2.4,0.13222122481547977,0.6,1.5,3,0.14941244461568098,0.7,1.85,1.7,2.9,0.22202166064981949,1.1,2,4.6,1,5,4.8,x,x,x,x,4.8,3.8
Russia-Ukraine conflict,"Conflict,Displacement",UKR002,Ukraine,UKR,4.6,1.0418156713841906,5,4.8,5,1,5,5,4.9,4.5,0.43644465290806755,2.2,3.35,5,0.857543733954266,5,5,5,0.0014628933070631083,5,5,5,4.3
Complex crisis in Venezuela,"Socio-political,Violence,Floods",VEN001,Venezuela,VEN,4.9,1,5,4.95,4.8,1,5,4.9,4.9,4.7,0.6899865733870398,3.4,4.05,5,0.3943056124539123,5,5,3.3,1.1112249078246621e-05,0.6,2,3.9,4
Conflict in Yemen,Conflict,YEM001,Yemen,YEM,4.5,1,5,4.75,5,1,5,5,4.9,5,1,5,5,5,0.16827285921625545,5,5,4.3,2.972423802612482e-05,1.5,2.9,4.2,4.6
Mixed migration flows in Yemen,Displacement,YEM002,Yemen,YEM,3.5,0.24812015834233006,1.2,2.35,0,0.010711175616835994,0,0,1.3,1.8,1,5,3.4,3.7,1,5,4.4,2.7,0.0001978319783197832,5,3.9,4.2,3.8
Drought in Zambia,"Drought,Food Security",ZMB002,Zambia,ZMB,4.8,1.0124134034625163,5,4.9,4.4,1,5,4.7,4.8,4.5,0.7241444418220438,3.6,4.05,2.9,0.006779219086109119,0.2,1.6,4.1,4.823675118962258e-05,2.4,3.3,2.5,3.4
Complex crisis in Zimbabwe,"Socio-political,Drought,Food Security",ZWE001,Zimbabwe,ZWE,4.3,1,5,4.65,4.1,1,5,4.55,4.6,4.6,1,5,4.8,1.9,0.0013488944929916135,0,1,4.1,4.216761480265087e-05,2.1,3.1,2.2,3.8
